Minute,Player,Squad,Outcome,Distance,Body Part,Notes,SCA 1 Player,SCA 1 Event,SCA 2 Player,SCA 2 Event,date
70,Shandon Baptiste,Brentford,Off Target,24.0,Right Foot,,Rico Henry,Pass (Live),Shandon Baptiste,Pass (Live),2021-09-11
78,Alexis Mac Allister,Brighton,Blocked,22.0,Right Foot,,Marc Cucurella,Pass (Live),Leandro Trossard,Pass (Live),2021-09-11
90,Leandro Trossard,Brighton,Goal,18.0,Right Foot,,Solly March,Pass (Live),Jakub Moder,Pass (Live),2021-09-11
1,Pierre-Emerick Aubameyang,Arsenal,Blocked,9.0,Left Foot,Half volley,Kieran Tierney,Pass (Live),Ainsley Maitland-Niles,Pass (Live),2021-09-11
3,Gabriel Dos Santos,Arsenal,Off Target,7.0,Head,,Nicolas Pépé,Pass (Dead),,,2021-09-11
5,Takehiro Tomiyasu,Arsenal,Blocked,24.0,Left Foot,,Ben White,Pass (Live),Martin Ødegaard,Pass (Live),2021-09-11
8,Kieran Tierney,Arsenal,Blocked,21.0,Right Foot,,Ben White,Pass (Live),Ainsley Maitland-Niles,Pass (Dead),2021-09-11
10,Pierre-Emerick Aubameyang,Arsenal,Off Target,32.0,Right Foot,,Kieran Tierney,Pass (Live),,,2021-09-11
14,Pierre-Emerick Aubameyang,Arsenal,Wayward,10.0,Head,,Ainsley Maitland-Niles,Pass (Live),Kieran Tierney,Pass (Live),2021-09-11
14,Albert Sambi Lokonga,Arsenal,Saved,27.0,Right Foot,,Martin Ødegaard,Pass (Live),Nicolas Pépé,Pass (Live),2021-09-11
15,Kenny McLean,Norwich City,Off Target,8.0,Head,,Max Aarons,Pass (Live),Kieran Dowell,Pass (Live),2021-09-11
18,Kieran Tierney,Arsenal,Blocked,30.0,Left Foot,,,,,,2021-09-11
26,Max Aarons,Norwich City,Saved,25.0,Left Foot,,Pierre Lees-Melou,Pass (Live),Lukas Rupp,Pass (Live),2021-09-11
37,Kieran Dowell,Norwich City,Blocked,25.0,Left Foot,Free kick,Teemu Pukki,Fouled,Kenny McLean,Pass (Live),2021-09-11
43,Nicolas Pépé,Arsenal,Off Target,23.0,Left Foot,Free kick,Pierre-Emerick Aubameyang,Fouled,Gabriel Dos Santos,Pass (Live),2021-09-11
45,Takehiro Tomiyasu,Arsenal,Off Target,14.0,Right Foot,Volley,,,,,2021-09-11
45+1,Teemu Pukki,Norwich City,Blocked,13.0,Right Foot,,Christos Tzolis,Pass (Live),Kenny McLean,Pass (Dead),2021-09-11
46,Kenny McLean,Norwich City,Blocked,22.0,Right Foot,,,,,,2021-09-11
46,Lukas Rupp,Norwich City,Off Target,34.0,Right Foot,,Brandon Williams,Pass (Live),Kenny McLean,Shot,2021-09-11
49,Gabriel Dos Santos,Arsenal,Off Target,10.0,Head,,Nicolas Pépé,Pass (Dead),Pierre-Emerick Aubameyang,Fouled,2021-09-11
50,Ainsley Maitland-Niles,Arsenal,Blocked,25.0,Right Foot,,Martin Ødegaard,Pass (Live),Pierre-Emerick Aubameyang,Pass (Live),2021-09-11
56,Bukayo Saka,Arsenal,Blocked,14.0,Right Foot,,Ainsley Maitland-Niles,Pass (Live),Kieran Tierney,Pass (Live),2021-09-11
57,Bukayo Saka,Arsenal,Blocked,15.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Ainsley Maitland-Niles,Pass (Live),2021-09-11
57,Nicolas Pépé,Arsenal,Blocked,6.0,Right Foot,,Bukayo Saka,Shot,,,2021-09-11
58,Albert Sambi Lokonga,Arsenal,Off Target,28.0,Right Foot,,Bukayo Saka,Pass (Live),Pierre-Emerick Aubameyang,Pass (Live),2021-09-11
59,Kenny McLean,Norwich City,Blocked,28.0,Right Foot,,Christos Tzolis,Pass (Live),Kieran Dowell,Pass (Live),2021-09-11
65,Thomas Partey,Arsenal,Wayward,11.0,Head,,Nicolas Pépé,Pass (Dead),,,2021-09-11
66,Nicolas Pépé,Arsenal,Saved to Post,15.0,Left Foot,,Bukayo Saka,Pass (Live),Bukayo Saka,Dribble,2021-09-11
66,Pierre-Emerick Aubameyang,Arsenal,Goal,2.0,Right Foot,"Open goal, Volley",Nicolas Pépé,Pass (Live),,,2021-09-11
70,Max Aarons,Norwich City,Off Target,16.0,Left Foot,Half volley,,,,,2021-09-11
71,Bukayo Saka,Arsenal,Blocked,10.0,Left Foot,,Pierre-Emerick Aubameyang,Pass (Live),Bukayo Saka,Pass (Live),2021-09-11
72,Nicolas Pépé,Arsenal,Saved,17.0,Left Foot,Half volley,Emile Smith Rowe,Pass (Live),Nicolas Pépé,Pass (Dead),2021-09-11
81,Nicolas Pépé,Arsenal,Off Target,22.0,Left Foot,,Ben White,Pass (Live),Gabriel Dos Santos,Pass (Live),2021-09-11
83,Pierre-Emerick Aubameyang,Arsenal,Saved,13.0,Left Foot,,Nicolas Pépé,Pass (Live),Nicolas Pépé,Dribble,2021-09-11
85,Cédric Soares,Arsenal,Off Target,22.0,Left Foot,Half volley,,,,,2021-09-11
87,Emile Smith Rowe,Arsenal,Saved,16.0,Right Foot,,Emile Smith Rowe,Dribble,Bukayo Saka,Pass (Live),2021-09-11
87,Bukayo Saka,Arsenal,Off Target,16.0,Left Foot,,Emile Smith Rowe,Shot,,,2021-09-11
90,Bukayo Saka,Arsenal,Blocked,12.0,Right Foot,,Cédric Soares,Pass (Live),Nicolas Pépé,Pass (Live),2021-09-11
90,Teemu Pukki,Norwich City,Blocked,10.0,Left Foot,,Adam Idah,Pass (Live),Milot Rashica,Pass (Live),2021-09-11
90+1,Nicolas Pépé,Arsenal,Off Target,17.0,Left Foot,,Emile Smith Rowe,Pass (Live),Emile Smith Rowe,Fouled,2021-09-11
90+2,Pierre-Emerick Aubameyang,Arsenal,Blocked,18.0,Right Foot,,Bukayo Saka,Fouled,Bukayo Saka,Pass (Live),2021-09-11
90+3,Teemu Pukki,Norwich City,Blocked,14.0,Right Foot,,Grant Hanley,Pass (Live),Tim Krul,Pass (Dead),2021-09-11
90+5,Bukayo Saka,Arsenal,Blocked,12.0,Left Foot,,Nicolas Pépé,Pass (Live),Bukayo Saka,Pass (Dead),2021-09-11
7,Joelinton,Newcastle Utd,Off Target,19.0,Right Foot,,Joelinton,Dribble,Allan Saint-Maximin,Pass (Live),2021-09-11
9,Cristiano Ronaldo,Manchester Utd,Off Target,9.0,Left Foot,Half volley,,,,,2021-09-11
11,Cristiano Ronaldo,Manchester Utd,Off Target,13.0,Left Foot,,Jadon Sancho,Pass (Live),Cristiano Ronaldo,Pass (Live),2021-09-11
15,Matt Ritchie,Newcastle Utd,Blocked,26.0,Left Foot,,Allan Saint-Maximin,Pass (Live),Miguel Almirón,Pass (Live),2021-09-11
19,Raphaël Varane,Manchester Utd,Off Target,7.0,Head,,Luke Shaw,Pass (Dead),Luke Shaw,Pass (Live),2021-09-11
23,Cristiano Ronaldo,Manchester Utd,Blocked,24.0,Left Foot,,Mason Greenwood,Pass (Live),Paul Pogba,Pass (Live),2021-09-11
23,Miguel Almirón,Newcastle Utd,Blocked,28.0,Left Foot,,,,,,2021-09-11
23,Matt Ritchie,Newcastle Utd,Saved,25.0,Left Foot,Deflected,Miguel Almirón,Shot,,,2021-09-11
26,Bruno Fernandes,Manchester Utd,Off Target,63.0,Right Foot,Lob,Jadon Sancho,Pass (Dead),,,2021-09-11
28,Joe Willock,Newcastle Utd,Off Target,12.0,Right Foot,Half volley,Joe Willock,Dribble,,,2021-09-11
29,Bruno Fernandes,Manchester Utd,Off Target,33.0,Right Foot,,Nemanja Matić,Pass (Live),Jadon Sancho,Pass (Live),2021-09-11
30,Bruno Fernandes,Manchester Utd,Blocked,29.0,Right Foot,,Cristiano Ronaldo,Pass (Live),Jadon Sancho,Pass (Live),2021-09-11
30,Jadon Sancho,Manchester Utd,Off Target,14.0,Left Foot,,Bruno Fernandes,Shot,,,2021-09-11
32,Jadon Sancho,Manchester Utd,Blocked,18.0,Right Foot,,Bruno Fernandes,Pass (Live),Mason Greenwood,Pass (Live),2021-09-11
32,Harry Maguire,Manchester Utd,Saved,11.0,Head,,Luke Shaw,Pass (Dead),Jadon Sancho,Shot,2021-09-11
36,Allan Saint-Maximin,Newcastle Utd,Off Target,28.0,Right Foot,,Ciaran Clark,Pass (Live),,,2021-09-11
39,Cristiano Ronaldo,Manchester Utd,Blocked,9.0,Right Foot,,Nemanja Matić,Pass (Live),David de Gea,Pass (Live),2021-09-11
43,Nemanja Matić,Manchester Utd,Blocked,29.0,Left Foot,,Aaron Wan-Bissaka,Pass (Live),Nemanja Matić,Pass (Live),2021-09-11
45+2,Mason Greenwood,Manchester Utd,Saved,24.0,Left Foot,Deflected,Paul Pogba,Pass (Live),Nemanja Matić,Pass (Live),2021-09-11
45+2,Cristiano Ronaldo,Manchester Utd,Goal,3.0,Right Foot,Open goal,Mason Greenwood,Shot,,,2021-09-11
54,Nemanja Matić,Manchester Utd,Off Target,33.0,Left Foot,,Mason Greenwood,Pass (Live),Aaron Wan-Bissaka,Pass (Live),2021-09-11
56,Javier Manquillo,Newcastle Utd,Goal,11.0,Right Foot,,Allan Saint-Maximin,Pass (Live),Miguel Almirón,Pass (Live),2021-09-11
59,Bruno Fernandes,Manchester Utd,Blocked,23.0,Right Foot,,Mason Greenwood,Pass (Live),,,2021-09-11
62,Cristiano Ronaldo,Manchester Utd,Goal,13.0,Left Foot,,Luke Shaw,Pass (Live),Paul Pogba,Pass (Live),2021-09-11
66,Raphaël Varane,Manchester Utd,Off Target,10.0,Head,,Luke Shaw,Pass (Dead),Jadon Sancho,Pass (Live),2021-09-11
67,Joelinton,Newcastle Utd,Saved,13.0,Right Foot,,Matt Ritchie,Pass (Live),Joelinton,Pass (Live),2021-09-11
69,Allan Saint-Maximin,Newcastle Utd,Off Target,33.0,Right Foot,,Allan Saint-Maximin,Dribble,Miguel Almirón,Pass (Live),2021-09-11
76,Mason Greenwood,Manchester Utd,Blocked,19.0,Right Foot,,Mason Greenwood,Dribble,,,2021-09-11
79,Allan Saint-Maximin,Newcastle Utd,Blocked,26.0,Right Foot,,Matt Ritchie,Pass (Live),,,2021-09-11
80,Jacob Murphy,Newcastle Utd,Saved,34.0,Left Foot,,,,,,2021-09-11
80,Bruno Fernandes,Manchester Utd,Goal,27.0,Right Foot,,Paul Pogba,Pass (Live),Mason Greenwood,Pass (Live),2021-09-11
87,Joelinton,Newcastle Utd,Wayward,10.0,Head,,Allan Saint-Maximin,Pass (Live),Jacob Murphy,Pass (Live),2021-09-11
90+2,Jesse Lingard,Manchester Utd,Goal,14.0,Right Foot,,Anthony Martial,Pass (Live),Paul Pogba,Pass (Live),2021-09-11
6,Gabriel Jesus,Manchester City,Saved,7.0,Head,,Bernardo Silva,Pass (Live),Bernardo Silva,Dribble,2021-09-11
6,Bernardo Silva,Manchester City,Blocked,8.0,Right Foot,,Gabriel Jesus,Shot,,,2021-09-11
6,İlkay Gündoğan,Manchester City,Blocked,11.0,Right Foot,,Bernardo Silva,Shot,,,2021-09-11
8,Wilfred Ndidi,Leicester City,Blocked,16.0,Right Foot,,James Maddison,Pass (Live),,,2021-09-11
11,Jannik Vestergaard,Leicester City,Off Target,4.0,Head,,Marc Albrighton,Pass (Dead),Wilfred Ndidi,Shot,2021-09-11
14,İlkay Gündoğan,Manchester City,Blocked,13.0,Left Foot,Volley,Bernardo Silva,Pass (Live),Jack Grealish,Pass (Live),2021-09-11
19,Bernardo Silva,Manchester City,Saved,17.0,Left Foot,,,,,,2021-09-11
21,Jack Grealish,Manchester City,Off Target,15.0,Right Foot,Half volley,İlkay Gündoğan,Pass (Dead),Jack Grealish,Fouled,2021-09-11
28,Ferrán Torres,Manchester City,Saved,14.0,Left Foot,,Jack Grealish,Pass (Live),Kyle Walker,Pass (Live),2021-09-11
42,João Cancelo,Manchester City,Blocked,28.0,Right Foot,,Aymeric Laporte,Pass (Live),Jack Grealish,Pass (Live),2021-09-11
42,Ferrán Torres,Manchester City,Blocked,9.0,Right Foot,Volley,Rúben Dias,Pass (Live),Aymeric Laporte,Pass (Live),2021-09-11
42,İlkay Gündoğan,Manchester City,Blocked,11.0,Right Foot,,Ferrán Torres,Shot,,,2021-09-11
43,İlkay Gündoğan,Manchester City,Saved,22.0,Left Foot,,Jack Grealish,Pass (Live),Rúben Dias,Pass (Live),2021-09-11
45,Gabriel Jesus,Manchester City,Saved,11.0,Right Foot,Half volley,Jack Grealish,Pass (Live),Kyle Walker,Pass (Live),2021-09-11
47,Harvey Barnes,Leicester City,Woodwork,11.0,Head,,Jamie Vardy,Pass (Live),Timothy Castagne,Pass (Live),2021-09-11
53,Kyle Walker,Manchester City,Blocked,9.0,Head,,İlkay Gündoğan,Pass (Dead),,,2021-09-11
55,Ferrán Torres,Manchester City,Off Target,19.0,Right Foot,,İlkay Gündoğan,Pass (Live),Kyle Walker,Pass (Live),2021-09-11
56,İlkay Gündoğan,Manchester City,Off Target,7.0,Head,,João Cancelo,Pass (Live),Bernardo Silva,Pass (Live),2021-09-11
58,Jack Grealish,Manchester City,Off Target,27.0,Right Foot,,,,,,2021-09-11
62,Ferrán Torres,Manchester City,Blocked,15.0,Left Foot,,Bernardo Silva,Pass (Live),Rodri,Pass (Live),2021-09-11
62,João Cancelo,Manchester City,Blocked,22.0,Right Foot,,Jack Grealish,Pass (Live),Rúben Dias,Pass (Live),2021-09-11
62,Bernardo Silva,Manchester City,Goal,4.0,Left Foot,,João Cancelo,Shot,,,2021-09-11
72,İlkay Gündoğan,Manchester City,Blocked,17.0,Right Foot,,,,,,2021-09-11
72,Kyle Walker,Manchester City,Saved,23.0,Right Foot,,Rodri,Pass (Live),,,2021-09-11
73,Aymeric Laporte,Manchester City,Wayward,9.0,Left Foot,Volley,Rúben Dias,Pass (Live),Jack Grealish,Pass (Live),2021-09-11
76,Ademola Lookman,Leicester City,Saved,12.0,Right Foot,,Kelechi Iheanacho,Pass (Live),Kelechi Iheanacho,Dribble,2021-09-11
78,Raheem Sterling,Manchester City,Off Target,6.0,Right Foot,Lob,Jack Grealish,Pass (Live),Rodri,Pass (Live),2021-09-11
83,Kelechi Iheanacho,Leicester City,Off Target,7.0,Head,,Marc Albrighton,Pass (Live),Timothy Castagne,Pass (Live),2021-09-11
85,Ademola Lookman,Leicester City,Blocked,15.0,Left Foot,Half volley,,,,,2021-09-11
90+1,Fernandinho,Manchester City,Off Target,14.0,Right Foot,,Raheem Sterling,Pass (Live),Fernandinho,Pass (Live),2021-09-11
90+2,Jack Grealish,Manchester City,Saved,13.0,Right Foot,,İlkay Gündoğan,Pass (Live),Rodri,Pass (Live),2021-09-11
3,Saïd Benrahma,West Ham,Blocked,25.0,Right Foot,,Michail Antonio,Pass (Live),Saïd Benrahma,Pass (Live),2021-09-11
3,Adam Armstrong,Southampton,Saved,21.0,Right Foot,,Nathan Redmond,Pass (Live),Valentino Livramento,Pass (Live),2021-09-11
14,Aaron Cresswell,West Ham,Blocked,24.0,Left Foot,Free kick,Saïd Benrahma,Fouled,Declan Rice,Interception,2021-09-11
14,Aaron Cresswell,West Ham,Off Target,21.0,Right Foot,Half volley,Aaron Cresswell,Shot,,,2021-09-11
21,Moussa Djenepo,Southampton,Blocked,16.0,Right Foot,,Mohamed Elyounoussi,Pass (Live),Nathan Redmond,Pass (Live),2021-09-11
32,Jarrod Bowen,West Ham,Blocked,23.0,Left Foot,,Declan Rice,Pass (Live),Michail Antonio,Interception,2021-09-11
33,Tomáš Souček,West Ham,Blocked,27.0,Right Foot,Half volley,,,,,2021-09-11
38,Moussa Djenepo,Southampton,Off Target,19.0,Left Foot,Half volley,,,,,2021-09-11
47,Michail Antonio,West Ham,Saved,19.0,Right Foot,,Saïd Benrahma,Pass (Live),Pablo Fornals,Pass (Live),2021-09-11
49,Mohamed Elyounoussi,Southampton,Saved,11.0,Head,,Mohamed Elyounoussi,Pass (Live),Oriol Romeu,Pass (Live),2021-09-11
51,Saïd Benrahma,West Ham,Blocked,22.0,Left Foot,Half volley,,,,,2021-09-11
52,Nathan Redmond,Southampton,Blocked,16.0,Right Foot,,Nathan Redmond,Dribble,Adam Armstrong,Pass (Live),2021-09-11
52,Nathan Redmond,Southampton,Off Target,13.0,Left Foot,,Moussa Djenepo,Pass (Live),Nathan Redmond,Shot,2021-09-11
56,Tomáš Souček,West Ham,Off Target,10.0,Head,,Saïd Benrahma,Pass (Live),Vladimír Coufal,Pass (Dead),2021-09-11
61,Adam Armstrong,Southampton,Off Target,9.0,Head,,Romain Perraud,Pass (Live),Moussa Djenepo,Pass (Live),2021-09-11
64,Michail Antonio,West Ham,Blocked,7.0,Right Foot,Volley,Nikola Vlašić,Pass (Live),Aaron Cresswell,Pass (Live),2021-09-11
68,Jarrod Bowen,West Ham,Saved,9.0,Left Foot,Volley,,,,,2021-09-11
68,Craig Dawson,West Ham,Saved,8.0,Head,,Jarrod Bowen,Pass (Dead),Jarrod Bowen,Shot,2021-09-11
81,Armando Broja,Southampton,Woodwork,22.0,Right Foot,,,,,,2021-09-11
82,Ibrahima Diallo,Southampton,Off Target,7.0,Right Foot,Half volley,Valentino Livramento,Pass (Live),Mohamed Elyounoussi,Pass (Live),2021-09-11
83,Andriy Yarmolenko,West Ham,Off Target,25.0,Left Foot,,Aaron Cresswell,Pass (Live),,,2021-09-11
90+2,Armando Broja,Southampton,Blocked,4.0,Head,,James Ward-Prowse,Pass (Dead),Mohamed Elyounoussi,Pass (Live),2021-09-11
90+2,Mohamed Elyounoussi,Southampton,Blocked,16.0,Right Foot,Half volley,,,,,2021-09-11
90+3,Declan Rice,West Ham,Blocked,27.0,Right Foot,,Aaron Cresswell,Pass (Dead),Nikola Vlašić,Fouled,2021-09-11
1,Antonio Rüdiger,Chelsea,Blocked,21.0,Left Foot,,Kai Havertz,Pass (Live),Antonio Rüdiger,Pass (Live),2021-09-11
2,Marcos Alonso,Chelsea,Blocked,27.0,Left Foot,,,,,,2021-09-11
4,Ezri Konsa,Aston Villa,Off Target,9.0,Head,,John McGinn,Pass (Dead),Jacob Ramsey,Fouled,2021-09-11
7,Douglas Luiz,Aston Villa,Blocked,26.0,Right Foot,,Douglas Luiz,Dribble,Matt Targett,Pass (Live),2021-09-11
15,Romelu Lukaku,Chelsea,Goal,10.0,Right Foot,,Romelu Lukaku,Dribble,Mateo Kovačić,Pass (Live),2021-09-11
18,Ollie Watkins,Aston Villa,Saved,17.0,Right Foot,,Jacob Ramsey,Pass (Live),Douglas Luiz,Pass (Live),2021-09-11
23,Ollie Watkins,Aston Villa,Blocked,11.0,Right Foot,,Ollie Watkins,Dribble,John McGinn,Pass (Live),2021-09-11
27,Douglas Luiz,Aston Villa,Off Target,23.0,Right Foot,,Ollie Watkins,Pass (Live),,,2021-09-11
32,Danny Ings,Aston Villa,Blocked,17.0,Right Foot,,,,,,2021-09-11
33,Tyrone Mings,Aston Villa,Saved,16.0,Right Foot,Half volley,,,,,2021-09-11
33,Ezri Konsa,Aston Villa,Saved,10.0,Right Foot,Half volley,Tyrone Mings,Shot,,,2021-09-11
40,Hakim Ziyech,Chelsea,Saved,25.0,Left Foot,,Callum Hudson-Odoi,Pass (Live),Callum Hudson-Odoi,Dribble,2021-09-11
41,Jacob Ramsey,Aston Villa,Saved,19.0,Left Foot,,John McGinn,Pass (Live),Ezri Konsa,Pass (Live),2021-09-11
45,Jacob Ramsey,Aston Villa,Blocked,28.0,Right Foot,,,,,,2021-09-11
45+1,Antonio Rüdiger,Chelsea,Off Target,49.0,Right Foot,Half volley,,,,,2021-09-11
45+3,Ollie Watkins,Aston Villa,Blocked,22.0,Right Foot,,Jacob Ramsey,Pass (Live),Douglas Luiz,Pass (Live),2021-09-11
49,Mateo Kovačić,Chelsea,Goal,13.0,Right Foot,,,,,,2021-09-11
51,Kai Havertz,Chelsea,Off Target,18.0,Left Foot,Half volley,Thiago Silva,Pass (Live),Hakim Ziyech,Pass (Live),2021-09-11
59,Ollie Watkins,Aston Villa,Blocked,15.0,Right Foot,,Leon Bailey,Pass (Live),Ollie Watkins,Pass (Live),2021-09-11
66,Mateo Kovačić,Chelsea,Off Target,23.0,Right Foot,,Hakim Ziyech,Pass (Live),Callum Hudson-Odoi,Pass (Live),2021-09-11
73,Bertrand Traoré,Aston Villa,Blocked,22.0,Left Foot,,Bertrand Traoré,Dribble,Ollie Watkins,Pass (Live),2021-09-11
74,Ezri Konsa,Aston Villa,Saved,6.0,Head,,John McGinn,Pass (Dead),Bertrand Traoré,Shot,2021-09-11
76,Callum Hudson-Odoi,Chelsea,Blocked,22.0,Right Foot,,Hakim Ziyech,Pass (Live),Romelu Lukaku,Pass (Live),2021-09-11
76,Marcos Alonso,Chelsea,Off Target,16.0,Left Foot,,Callum Hudson-Odoi,Shot,,,2021-09-11
80,Ollie Watkins,Aston Villa,Saved,20.0,Right Foot,,,,,,2021-09-11
82,Hakim Ziyech,Chelsea,Off Target,29.0,Left Foot,,Jorginho,Pass (Live),Marcos Alonso,Pass (Live),2021-09-11
83,Tyrone Mings,Aston Villa,Blocked,23.0,Right Foot,Half volley,,,,,2021-09-11
84,Ollie Watkins,Aston Villa,Blocked,4.0,Head,,Tyrone Mings,Shot,,,2021-09-11
84,John McGinn,Aston Villa,Off Target,24.0,Left Foot,,,,,,2021-09-11
90+3,Romelu Lukaku,Chelsea,Goal,17.0,Left Foot,,César Azpilicueta,Pass (Live),César Azpilicueta,Dribble,2021-09-11
5,Rodrigo,Leeds United,Saved,15.0,Left Foot,,Raphael Dias Belloli,Pass (Live),Kalvin Phillips,Pass (Live),2021-09-12
11,Sadio Mané,Liverpool,Blocked,21.0,Left Foot,,Diogo Jota,Pass (Live),Trent Alexander-Arnold,Pass (Live),2021-09-12
15,Diogo Jota,Liverpool,Saved,12.0,Right Foot,Volley,Mohamed Salah,Pass (Live),Harvey Elliott,Pass (Live),2021-09-12
18,Junior Firpo,Leeds United,Blocked,14.0,Left Foot,,Jack Harrison,Pass (Live),Jack Harrison,Dribble,2021-09-12
19,Sadio Mané,Liverpool,Blocked,20.0,Right Foot,,Mohamed Salah,Pass (Live),Sadio Mané,Pass (Live),2021-09-12
20,Mohamed Salah,Liverpool,Goal,5.0,Left Foot,,Trent Alexander-Arnold,Pass (Live),Joël Matip,Pass (Live),2021-09-12
26,Sadio Mané,Liverpool,Off Target,6.0,Right Foot,Half volley,Diogo Jota,Pass (Live),Diogo Jota,Dribble,2021-09-12
27,Thiago Alcántara,Liverpool,Blocked,21.0,Right Foot,,Diogo Jota,Pass (Live),Sadio Mané,Pass (Live),2021-09-12
27,Harvey Elliott,Liverpool,Blocked,16.0,Left Foot,,Andrew Robertson,Pass (Live),Mohamed Salah,Pass (Live),2021-09-12
27,Harvey Elliott,Liverpool,Saved,9.0,Right Foot,,Harvey Elliott,Dribble,Harvey Elliott,Shot,2021-09-12
28,Virgil van Dijk,Liverpool,Wayward,8.0,Head,,Trent Alexander-Arnold,Pass (Dead),Harvey Elliott,Shot,2021-09-12
31,Sadio Mané,Liverpool,Off Target,19.0,Left Foot,,Mohamed Salah,Pass (Live),Sadio Mané,Pass (Live),2021-09-12
38,Harvey Elliott,Liverpool,Off Target,23.0,Right Foot,,Diogo Jota,Pass (Live),Trent Alexander-Arnold,Pass (Live),2021-09-12
39,Diogo Jota,Liverpool,Blocked,22.0,Left Foot,,Mohamed Salah,Fouled,Harvey Elliott,Pass (Live),2021-09-12
41,Trent Alexander-Arnold,Liverpool,Blocked,25.0,Right Foot,Free kick,Diogo Jota,Fouled,Thiago Alcántara,Pass (Live),2021-09-12
44,Luke Ayling,Leeds United,Off Target,6.0,Right Foot,Volley,Rodrigo,Pass (Live),Kalvin Phillips,Pass (Live),2021-09-12
49,Patrick Bamford,Leeds United,Wayward,13.0,Head,,Jack Harrison,Pass (Live),Kalvin Phillips,Pass (Live),2021-09-12
49,Sadio Mané,Liverpool,Wayward,13.0,Right Foot,,Diogo Jota,Pass (Live),Sadio Mané,Pass (Live),2021-09-12
49,Mohamed Salah,Liverpool,Blocked,9.0,Left Foot,,Sadio Mané,Shot,,,2021-09-12
50,Virgil van Dijk,Liverpool,Blocked,16.0,Head,,Trent Alexander-Arnold,Pass (Dead),Mohamed Salah,Shot,2021-09-12
50,Fabinho,Liverpool,Blocked,8.0,Right Foot,Half volley,Virgil van Dijk,Shot,,,2021-09-12
50,Fabinho,Liverpool,Goal,6.0,Right Foot,Half volley,Fabinho,Shot,,,2021-09-12
55,Tyler Roberts,Leeds United,Saved,4.0,Head,,,,,,2021-09-12
56,Tyler Roberts,Leeds United,Off Target,15.0,Right Foot,,Jack Harrison,Pass (Live),Tyler Roberts,Pass (Live),2021-09-12
66,Patrick Bamford,Leeds United,Off Target,9.0,Head,,Raphael Dias Belloli,Pass (Dead),Junior Firpo,Fouled,2021-09-12
73,Trent Alexander-Arnold,Liverpool,Saved,16.0,Left Foot,,Joël Matip,Pass (Live),Virgil van Dijk,Pass (Live),2021-09-12
75,Sadio Mané,Liverpool,Blocked,10.0,Left Foot,,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live),2021-09-12
75,Patrick Bamford,Leeds United,Saved,5.0,Left Foot,,Raphael Dias Belloli,Pass (Live),Luke Ayling,Pass (Live),2021-09-12
76,Mohamed Salah,Liverpool,Blocked,18.0,Left Foot,,Diogo Jota,Pass (Live),Mohamed Salah,Pass (Live),2021-09-12
79,Jordan Henderson,Liverpool,Saved,21.0,Left Foot,,Diogo Jota,Pass (Live),Andrew Robertson,Pass (Live),2021-09-12
79,Sadio Mané,Liverpool,Blocked,12.0,Right Foot,,Andrew Robertson,Pass (Live),Jordan Henderson,Pass (Live),2021-09-12
80,Diogo Jota,Liverpool,Blocked,18.0,Left Foot,,Thiago Alcántara,Pass (Live),Joël Matip,Pass (Live),2021-09-12
81,Sadio Mané,Liverpool,Saved,15.0,Left Foot,,Diogo Jota,Pass (Live),Mohamed Salah,Pass (Live),2021-09-12
83,Patrick Bamford,Leeds United,Saved,53.0,Left Foot,Lob,,,,,2021-09-12
88,Sadio Mané,Liverpool,Blocked,13.0,Right Foot,,Jordan Henderson,Pass (Live),Andrew Robertson,Pass (Live),2021-09-12
89,Joël Matip,Liverpool,Blocked,11.0,Head,,Trent Alexander-Arnold,Pass (Dead),Sadio Mané,Shot,2021-09-12
90+2,Sadio Mané,Liverpool,Goal,10.0,Right Foot,,Thiago Alcántara,Pass (Live),Jordan Henderson,Pass (Live),2021-09-12
90+6,Fabinho,Liverpool,Blocked,12.0,Head,,Andrew Robertson,Pass (Dead),Naby Keïta,Pass (Live),2021-09-12
90+7,Trent Alexander-Arnold,Liverpool,Off Target,27.0,Left Foot,Half volley,,,,,2021-09-12
6,Chris Wood,Burnley,Off Target,7.0,Head,,Dwight McNeil,Pass (Live),Ashley Westwood,Pass (Live),2021-09-13
9,Demarai Gray,Everton,Off Target,34.0,Right Foot,,Michael Keane,Pass (Live),Ben Godfrey,Pass (Live),2021-09-13
18,Chris Wood,Burnley,Wayward,7.0,Head,,Charlie Taylor,Pass (Live),,,2021-09-13
19,Chris Wood,Burnley,Blocked,13.0,Right Foot,Half volley,Ashley Barnes,Pass (Live),Matthew Lowton,Pass (Live),2021-09-13
20,Ben Mee,Burnley,Off Target,3.0,Other,,Josh Brownhill,Pass (Dead),Chris Wood,Shot,2021-09-13
26,Dwight McNeil,Burnley,Saved,27.0,Left Foot,Deflected,Charlie Taylor,Pass (Live),Nick Pope,Pass (Live),2021-09-13
27,Josh Brownhill,Burnley,Saved,16.0,Right Foot,Half volley,Ashley Barnes,Pass (Live),,,2021-09-13
28,Abdoulaye Doucouré,Everton,Saved,12.0,Right Foot,Half volley,Andros Townsend,Pass (Live),Séamus Coleman,Pass (Live),2021-09-13
