"","Player","Pos","SCA","GCA","Gls","Sh","SoT","SoT%","G/Sh","G/SoT","ShDist","FK","PK","PKatt","xG","npxG","npxG/Sh","Tkl","TklW","TklDef 3rd","TklMid 3rd","TklAtt 3rd","Press","PressSucc","PressSucc%","PressDef 3rd","PressMid 3rd","PressAtt 3rd","Blocks","Int","Clr"
"330","Angelo Ogbonna\74b2cd7e","DF",0.2,0.1,0.1,0.29,0.1,33.3,0.33,1,11.1,0,0,0,0.03,0.03,0.09,1.27,0.78,0.78,0.49,0,4.9,1.57,32,3.14,1.47,0.29,0.69,1.27,3.73
"331","James Justin\fb614c44","DF",1.58,0.1,0,0.5,0.1,20,0,0,10.6,0,0,0,0.06,0.06,0.13,2.87,1.88,1.29,1.19,0.4,16.4,4.85,29.5,7.92,6.24,2.28,2.57,2.48,3.07
"332","Jeremy Ngakia\3631ad41","DF",1.2,0.1,0,0.5,0,0,0,0,26.3,0,0,0,0.01,0.01,0.02,4.1,2.1,3.4,0.4,0.3,20.2,5.5,27.2,13.9,4.8,1.5,1.5,3,2
"333","Shandon Baptiste\2886c9b5","MF",1.72,0.2,0.1,1.21,0.4,33.3,0.08,0.25,18.9,0,0,0,0.07,0.07,0.06,0.71,0.4,0.61,0,0.1,20.5,6.87,33.5,6.16,9.49,4.85,1.31,1.82,1.01
"334","Roberto Firmino\4c370d81","FW",3.13,0.51,0.51,2.42,1.01,41.7,0.21,0.5,14,0,0,0,0.48,0.48,0.2,3.03,2.12,0.51,1.52,1.01,21.9,7.78,35.5,3.13,10.2,8.59,1.92,0.2,0.2
"335","Harry Winks\2f7acede","MF",2.32,0.4,0,0.3,0.1,33.3,0,0,24.2,0,0,0,0.01,0.01,0.04,1.72,0.71,0.51,0.81,0.4,14.5,3.13,21.5,5.15,7.07,2.32,1.82,1.92,0.81
"336","Marvelous Nakamba\de5b5570","MF",0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,1.94,1.63,1.12,0.1,20.3,6.02,29.6,9.9,8.78,1.63,1.63,2.24,1.53
"337","Matt Doherty\d557d734","DF",2.37,0.41,0.21,1.65,0.62,37.5,0.13,0.33,13.8,0,0,0,0.26,0.26,0.16,1.86,1.24,0.93,0.82,0.1,12.4,4.33,35,5.15,5.57,1.65,2.47,1.75,1.55
"338","Luis Díaz\4a1a9578","FW",4.38,0.42,0.42,3.65,1.46,40,0.11,0.29,15.9,0,0,0,0.42,0.42,0.11,1.15,0.94,0.42,0.31,0.42,15.6,5.83,37.3,2.6,5.94,7.08,0.94,0.42,0.21
"339","Kieran Dowell\2f6ec02a","FW",2.32,0.11,0.11,0.84,0.21,25,0.13,0.5,22.1,0.32,0,0,0.13,0.13,0.15,1.79,0.74,0.63,0.84,0.32,27.4,4.74,17.3,6.74,12.3,8.32,1.16,0.84,0.21
"340","Nampalys Mendy\1598599e","MF",0.53,0.21,0,0.11,0.11,100,0,0,25.3,0,0,0,0,0,0.02,1.37,0.95,0.63,0.63,0.11,12.1,4.63,38.3,4.74,6,1.37,1.16,1.37,0.84
"341","Christian Eriksen\980522ec","MF",5,0.74,0.11,2.23,0.85,38.1,0.05,0.13,23.4,0.53,0,0,0.15,0.15,0.07,1.91,1.06,0.74,0.85,0.32,13.5,2.66,19.7,3.51,7.34,2.66,1.28,0.96,0.96
"342","Yerry Mina\6d5701f2","DF",0.32,0,0,0.64,0.11,16.7,0,0,9.2,0,0,0,0.03,0.03,0.05,1.81,1.28,1.81,0,0,7.45,3.19,42.9,5.11,2.02,0.32,2.02,1.06,5
"343","Willy Boly\a4ac4b8f","DF",0.22,0,0,0.22,0.11,50,0,0,8,0,0,0,0.02,0.02,0.08,2.67,2.11,2,0.67,0,10.7,4.33,40.6,6,4.33,0.33,1.67,2.11,3.22
"344","Angus Gunn\e082af5b","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.22,0,0,0,0,0.11
"345","Ibrahima Konaté\5ed9b537","DF",0.56,0.11,0,0.33,0,0,0,0,9.3,0,0,0,0.02,0.02,0.06,1.11,0.67,0.56,0.44,0.11,6.67,1.89,28.3,3.89,2.44,0.33,1.44,2.67,4.78
"346","Salomón Rondón\b318a643","FW",1.93,0.11,0.11,2.39,0.68,28.6,0.05,0.17,11.6,0,0,0,0.25,0.25,0.1,0.68,0.23,0,0.34,0.34,19.5,5.68,29.1,1.93,8.52,9.09,0.68,0.45,1.25
"347","Alex Oxlade-Chamberlain\38c7feef","MF",2.41,0.11,0.23,2.41,0.34,14.3,0.1,0.67,20.3,0,0,0,0.14,0.14,0.06,1.95,1.61,0.34,0.8,0.8,19.8,7.24,36.6,2.99,8.74,8.05,1.26,0.92,0.8
"348","Kostas Tsimikas\f315ca93","DF",3.45,0.34,0,0.8,0.23,28.6,0,0,16.8,0,0,0,0.06,0.06,0.07,1.95,0.92,0.8,0.57,0.57,14.7,5.29,35.9,5.63,5.06,4.02,1.61,1.49,2.18
"349","Leon Bailey\3a233281","FW",2.47,0.35,0.12,2.47,0.94,38.1,0.05,0.13,18.6,0.47,0,0,0.19,0.19,0.08,2.24,1.41,0.82,1.06,0.35,17.2,5.65,32.9,2.94,6.94,7.29,1.53,0.35,0.35
"350","Mads Bech Sørensen\30db8574","DF",0.82,0,0,0.24,0,0,0,0,9.5,0,0,0,0.01,0.01,0.04,1.18,0.71,0.94,0.24,0,7.65,2.82,36.9,4.59,2.35,0.71,1.18,0.94,3.18
"351","Curtis Jones\4fb9c88f","MF",2.47,0.24,0.12,1.88,0.82,43.8,0.06,0.14,22.4,0,0,0,0.09,0.09,0.05,1.29,0.94,0.24,0.94,0.12,22.6,6.35,28.1,3.76,12.6,6.24,0.59,1.18,0.12
"352","Eddie Nketiah\a53649b7","FW",2.27,0.47,0.47,2.94,1.29,44,0.16,0.36,14.3,0,0,0,0.52,0.52,0.18,1.41,0.82,0,0.82,0.59,16.7,4.94,29.6,0.59,5.65,10.5,0.59,0.59,0.71
"353","Ken Sema\1770bd68","MF",1.88,0,0,0.24,0.12,50,0,0,20.3,0,0,0,0.01,0.01,0.04,1.41,0.94,1.18,0.24,0,20.4,4.47,22,8,10,2.35,1.53,0.82,2.12
"354","Rob Holding\d79a8c87","DF",0.36,0,0.12,0.48,0.12,25,0.25,1,6.5,0,0,0,0.04,0.04,0.07,1.43,0.83,1.19,0.12,0.12,7.14,2.26,31.7,4.05,2.62,0.48,2.86,1.79,5.71
"355","Lukas Rupp\3faa1780","MF",3.25,0,0,1.45,0.24,16.7,0,0,19.4,0,0,0,0.08,0.08,0.06,1.2,0.96,0.6,0.6,0,20.5,6.39,31.2,9.04,8.55,2.89,0.96,2.05,0.48
"356","Luka Milivojević\2ce2508a","MF",1.95,0.12,0,0.98,0,0,0,0,26.6,0.49,0,0,0.02,0.02,0.03,2.44,1.46,1.22,0.98,0.24,15,5.12,34.1,5.98,7.32,1.71,0.85,1.1,2.2
"357","Japhet Tanganga\e9971f2d","DF",0.37,0,0,0.85,0.24,28.6,0,0,13.1,0,0,0,0.05,0.05,0.05,2.56,1.46,1.22,0.73,0.61,13.4,4.39,32.7,6.34,5.49,1.59,1.95,2.07,3.66
"358","Nathan Tella\f1e94cd6","MF",2.07,0.24,0,1.46,0.61,41.7,0,0,20.9,0,0,0,0.06,0.06,0.04,1.34,0.61,0.49,0.61,0.24,29,7.93,27.3,5.73,12.6,10.7,1.95,2.2,0.73
"359","Lyanco\b5bf1770","DF",0.86,0,0,0.62,0,0,0,0,14,0,0,0,0.02,0.02,0.04,1.48,1.23,0.86,0.62,0,10,3.95,39.5,5.19,4.81,0,2.47,2.59,6.05
"360","Erik Pieters\1ef37668","DF",0.86,0.12,0,0.86,0,0,0,0,23.8,0,0,0,0.02,0.02,0.03,3.46,1.98,2.72,0.62,0.12,17.7,4.94,28,9.26,6.54,1.85,3.09,2.84,3.33
"361","Karl Darlow\cde3309f","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.13
"362","Mohamed Elneny\47a34c4f","MF",1.43,0.25,0,0.75,0.25,33.3,0,0,24.9,0,0,0,0.01,0.01,0.02,1.88,1.13,1,0.75,0.13,10.3,3.63,35.4,4.5,4.75,1,0.75,2,1
"363","Edo Kayembe\f99b71de","MF",1.5,0,0,0.5,0,0,0,0,25.5,0,0,0,0.01,0.01,0.02,2.5,1.75,1.13,1.13,0.25,13.8,5,36.4,6.38,6.75,0.63,1.63,1.38,2.38
"364","James Milner\2f90f6b8","MF",2.88,0.13,0,1,0.13,12.5,0,0,22,0,0,0,0.03,0.03,0.03,4.13,2.75,1.88,1.75,0.5,18.6,7.75,41.6,4.38,10.3,4,2,2.38,2.63
"365","Jamie Shackleton\8d03ca5a","DF",1.01,0.13,0,0.51,0.13,25,0,0,18.8,0,0,0,0.03,0.03,0.05,3.29,2.28,2.15,0.89,0.25,14.6,4.94,33.9,6.58,6.2,1.77,2.03,1.27,1.14
"366","Danny Rose\89d10e53","DF",1.43,0.13,0,0.52,0.13,25,0,0,19.7,0,0,0,0.03,0.03,0.04,2.99,1.95,1.95,1.04,0,11,4.42,40,5.71,4.68,0.65,1.82,1.95,1.69
"367","Nicolas Pépé\57e3f0c7","FW",3.51,0.39,0.13,2.89,0.79,27.3,0.05,0.17,14.9,0.39,0,0,0.38,0.38,0.13,1.58,1.32,0.79,0.53,0.26,14.9,4.21,28.3,4.34,5.53,5,1.71,1.18,0.39
"368","Jack Butland\cc70a1d5","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"369","Edinson Cavani\527f063d","FW",1.07,0.27,0.27,2.27,0.67,29.4,0.12,0.4,11.3,0,0,0,0.43,0.43,0.19,0.53,0.27,0,0.4,0.13,11.5,4.53,39.5,1.73,4.67,5.07,1.07,1.07,0.93
"370","Joe Gelhardt\01962d0d","FW",2.93,0.8,0.27,2.93,1.2,40.9,0.09,0.22,15.8,0,0,0,0.41,0.41,0.14,1.47,0.8,0.53,0.27,0.67,24.8,8.13,32.8,2.53,11.6,10.7,1.07,0.53,0.4
"371","Matěj Vydra\0d4ceb32","FW",1.6,0.4,0.27,2.53,0.93,36.8,0.11,0.29,14.3,0,0,0,0.4,0.4,0.16,1.6,1.07,0.4,0.4,0.8,21.1,5.07,24.1,2.27,8.27,10.5,0.67,0.4,1.2
"372","Fabian Delph\111c3236","MF",0.68,0,0,0.27,0,0,0,0,25.5,0,0,0,0,0,0.02,2.57,1.76,1.08,1.22,0.27,17.2,5.27,30.7,4.73,10.4,2.03,1.76,2.57,1.22
"373","Dele Alli\cea4ee8f","MF",1.1,0.14,0.14,0.55,0.27,50,0,0,18.2,0,0.14,0.14,0.21,0.1,0.18,2.6,0.96,1.51,0.82,0.27,28.6,7.53,26.3,11.1,12.6,4.93,3.42,2.33,1.64
"374","Ashley Barnes\2691c772","FW",2.64,0.14,0,1.94,0.69,35.7,0,0,15,0,0,0,0.14,0.14,0.07,1.67,1.25,0.56,0.69,0.42,18.9,3.89,20.6,2.08,10.3,6.53,0.56,0.69,0.42
"375","Calum Chambers\dc6f5bdd","DF",1.25,0.14,0.14,0.28,0.14,50,0.5,1,15.5,0,0,0,0.01,0.01,0.05,2.08,1.25,1.11,0.83,0.14,11.3,3.89,34.6,5.56,5.14,0.56,1.81,0.97,6.67
"376","Arthur Masuaku\57df7a11","DF",0.83,0.28,0.14,0.56,0.14,25,0.25,1,26.6,0,0,0,0.01,0.01,0.03,4.58,2.64,2.78,1.53,0.28,16.7,5.42,32.5,8.47,6.94,1.25,1.39,2.5,2.22
"377","Jack Stephens\6adbc307","DF",0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,1.29,1.14,1,0.29,10,3.29,32.9,5.71,3.43,0.86,1.43,2.71,5.71
"378","Adam Idah\291e3ec3","FW",1.74,0.14,0.14,2.03,0.58,28.6,0.07,0.25,12.4,0,0,0,0.29,0.29,0.14,1.59,0.87,0.58,0.72,0.29,13.5,3.33,24.7,2.17,5.8,5.51,0.58,0.58,1.16
"379","Moisés Caicedo\16264a81","MF",1.23,0.31,0.15,1.23,0.46,37.5,0.13,0.33,17.7,0,0,0,0.08,0.08,0.06,3.08,1.85,1.69,0.92,0.46,18.8,6.15,32.8,5.08,9.54,4.15,1.69,1.85,1.54
"380","André Gomes\1961b2aa","MF",2.03,0.31,0,2.03,0.47,23.1,0,0,22,0,0,0,0.09,0.09,0.05,2.34,1.41,0.94,0.78,0.63,28.3,7.66,27.1,10.2,12.7,5.47,1.72,1.25,0.47
"381","Fábio Silva\e7aa9d7c","FW",2.5,0.16,0,2.97,0.78,26.3,0,0,13.2,0,0,0,0.36,0.36,0.12,0.94,0.78,0,0.47,0.47,23.3,6.88,29.5,1.09,12.5,9.69,0.16,0.63,0.31
"382","Jannik Vestergaard\1900032e","DF",0.48,0,0,0.16,0,0,0,0,4.1,0,0,0,0.02,0.02,0.06,2.54,1.75,2.06,0.48,0,9.52,3.49,36.7,7.14,2.38,0,2.38,2.38,6.51
"383","Patrick Bamford\93feac6e","FW",1.94,0.48,0.32,3.23,0.81,25,0.1,0.4,13.6,0,0,0,0.63,0.63,0.2,0.48,0.32,0.16,0.32,0,17.9,6.13,34.2,0.65,7.58,9.68,0.97,0.48,1.29
"384","Nikola Vlašić\aa8e289e","FW",2.9,0,0.16,1.13,0.48,42.9,0.14,0.33,17.6,0,0,0,0.16,0.16,0.14,2.1,1.77,0.48,1.29,0.32,24.2,5.65,23.3,6.61,10.5,7.1,0.97,1.61,0.32
"385","Steven Bergwijn\a29b1131","FW",3.11,0.49,0.49,3.11,1.64,52.6,0.16,0.3,15.9,0,0,0,0.51,0.51,0.16,0.82,0.66,0.33,0.16,0.33,13.4,2.46,18.3,2.3,5.57,5.57,0.66,0.66,1.48
"386","James Tomkins\e7ca0439","DF",0.49,0,0.16,0.66,0.33,50,0.25,0.5,12,0,0,0,0.1,0.1,0.14,1.97,0.98,1.15,0.82,0,8.03,3.28,40.8,5.41,2.62,0,2.13,1.64,2.3
"387","Ben Chilwell\d2424d1b","DF",3.5,0.17,0.5,2.17,1,46.2,0.23,0.5,17.9,0,0,0,0.2,0.2,0.09,1.67,0.83,0.5,1,0.17,15.3,5.17,33.7,5.67,6,3.67,1.67,1,2.5
"388","Saman Ghoddos\f7b1d4e0","DF",4.17,0.33,0.17,1.33,0.33,25,0.13,0.5,20,0.17,0,0,0.1,0.1,0.08,2.83,1.33,1.33,1.17,0.33,19.5,4.33,22.2,6.17,8,5.33,2.17,1.17,2.17
"389","Federico Fernández\f25b010f","DF",0.52,0.17,0,1.03,0.17,16.7,0,0,9.2,0,0,0,0.07,0.07,0.07,0.17,0.17,0,0.17,0,5.69,0.69,12.1,3.62,1.55,0.52,1.9,2.24,3.97
"390","Mathias Jørgensen\0db5d2c8","DF",1.03,0,0.17,0.34,0.17,50,0.5,1,6.9,0,0,0,0.02,0.02,0.05,1.9,0.34,0.69,0.69,0.52,9.31,2.24,24.1,4.83,3.28,1.21,1.38,1.72,2.41
"391","Malang Sarr\4315f30d","DF",1.05,0.18,0,0.18,0,0,0,0,21.5,0,0,0,0,0,0.05,2.28,0.7,1.75,0.35,0.18,11.6,3.86,33.3,7.02,3.68,0.88,1.58,2.11,4.39
"392","Jakob Sørensen\953c30b0","MF",0.35,0,0,0.88,0.18,20,0,0,14.4,0,0,0,0.07,0.07,0.08,4.04,2.46,1.23,2.63,0.18,19.5,7.19,36.9,8.07,10,1.4,1.75,2.11,2.46
"393","Eberechi Eze\ae4fc6a4","MF",3.57,0.18,0.18,1.79,0.18,10,0.1,1,20.2,0.18,0,0,0.09,0.09,0.05,1.07,0.54,0.54,0.18,0.36,11.6,3.04,26.2,1.79,6.96,2.86,0.89,1.43,0
"394","Przemysław Płacheta\3c33f9d9","FW",2.5,0,0,1.43,1.25,87.5,0,0,16.7,0,0,0,0.09,0.09,0.07,0.89,0.54,0.89,0,0,20.5,4.46,21.7,6.07,9.82,4.64,1.25,1.61,0.89
"395","Axel Tuanzebe\2baec6ce","DF",0.18,0,0,0.36,0.18,50,0,0,7,0,0,0,0.04,0.04,0.09,1.43,1.07,1.07,0.36,0,8.39,2.32,27.7,4.11,3.57,0.71,0.89,1.61,2.32
"396","Tanguy Ndombele\5cdddffa","MF",2.41,0.19,0.19,1.67,0.56,33.3,0.11,0.33,17.3,0,0,0,0.09,0.09,0.05,2.41,1.85,0.74,1.48,0.19,16.3,4.81,29.5,4.44,8.33,3.52,0.37,0.56,0.56
"397","Wesley Fofana\132a82f1","DF",0.6,0,0,0.4,0.2,50,0,0,10,0,0,0,0.02,0.02,0.05,1.2,0.4,1,0.2,0,7,3,42.9,5,2,0,1,2.4,3.4
