"","Player","Pos","SCA","GCA","Gls","Sh","SoT","SoT%","G/Sh","G/SoT","ShDist","FK","PK","PKatt","xG","npxG","npxG/Sh","Tkl","TklW","TklDef 3rd","TklMid 3rd","TklAtt 3rd","Press","PressSucc","PressSucc%","PressDef 3rd","PressMid 3rd","PressAtt 3rd","Blocks","Int","Clr"
"398","Charlie Goode\7aee4dd3","DF",2.4,0,0,0.4,0,0,0,0,10.5,0,0,0,0.02,0.02,0.07,1.6,1,1.2,0.4,0,7.2,3,41.7,4,2.6,0.6,1,1,2.4
"399","Todd Cantwell\f63d8a4b","FW",1.02,0,0,0.82,0,0,0,0,28.8,0,0,0,0.04,0.04,0.04,3.06,2.24,1.63,1.22,0.2,21.6,5.1,23.6,7.96,9.39,4.29,0.41,0.82,0.61
"400","Moussa Djenepo\254147d4","MF",3.27,0.2,0,2.04,0.2,10,0,0,15.9,0,0,0,0.31,0.31,0.15,2.65,1.63,1.22,1.22,0.2,20.4,5.1,25,9.39,7.35,3.67,1.84,1.84,0.61
"401","Pedro Neto\7ba2eaa9","FW",4.49,0.2,0,3.27,0.61,18.8,0,0,19.3,0.41,0,0,0.22,0.22,0.07,1.02,1.02,0.41,0.41,0.2,18.2,4.49,24.7,3.67,7.76,6.73,0.2,1.22,0.2
"402","Donny van de Beek\50dc94ce","MF",1.04,0,0,0.83,0,0,0,0,22.8,0,0,0,0.02,0.02,0.03,2.71,1.46,1.25,1.25,0.21,18.3,4.79,26.1,4.79,9.79,3.75,1.46,1.88,1.04
"403","Francisco Sierralta\0f933743","DF",0.21,0,0,0.21,0.21,100,0,0,9,0,0,0,0,0,0.05,1.28,0.85,1.28,0,0,5.11,2.13,41.7,3.83,1.28,0,1.91,2.98,8.51
"404","Steven Alzate\ad1f61f3","MF",1.56,0.22,0,0.22,0.22,100,0,0,18.4,0,0,0,0.02,0.02,0.07,2,1.78,0.67,1.11,0.22,17.6,4.44,25.3,6.67,8.22,2.67,1.11,3.11,2.22
"405","Oghenekaro Etebo\b579e83d","MF",0.89,0,0,0.67,0,0,0,0,30.9,0,0,0,0,0,0.02,2.67,2.22,1.11,1.56,0,14.4,4.89,33.8,6.44,7.11,0.89,1.11,1.78,1.33
"406","Ayoze Pérez\819aa8e7","MF",3.78,0.44,0,2,0.89,44.4,0,0,16.6,0,0,0,0.24,0.24,0.13,1.33,0.89,0.44,0.67,0.22,24.9,6,24.1,6.44,11.6,6.89,2.22,2,0.67
"407","Kortney Hause\bf8fad51","DF",0,0,0.23,0.45,0.45,100,0.5,0.5,10.1,0,0,0,0.02,0.02,0.04,0.91,0.91,0.68,0,0.23,10.7,4.77,44.7,6.82,3.64,0.23,2.27,2.05,4.32
"408","Anwar El Ghazi\ffa90327","FW",2.56,0.47,0.23,1.63,0.47,28.6,0,0,21.3,0,0.23,0.23,0.26,0.07,0.04,0.7,0.7,0.23,0.47,0,11.2,4.19,37.5,1.63,5.58,3.95,1.16,0.47,0.47
"409","Saúl Ñíguez\c14bc029","DF",0.93,0,0,0.47,0.23,50,0,0,14,0,0,0,0.02,0.02,0.07,2.33,1.16,1.4,0.47,0.47,19.8,4.88,24.7,8.84,8.84,2.09,2.33,2.79,1.63
"410","Andrew Omobamidele\c393a6c4","DF",0,0,0.24,0.48,0.24,50,0.5,1,6.5,0,0,0,0.07,0.07,0.17,1.9,0.71,1.19,0.71,0,11.7,3.33,28.6,8.81,2.86,0,2.38,2.38,4.05
"411","Theo Walcott\1ecb65be","MF",0.95,0.24,0,1.43,0,0,0,0,15.9,0,0,0,0.17,0.17,0.12,1.19,0.71,0.48,0.24,0.48,18.8,4.05,21.5,4.76,8.33,5.71,1.19,1.67,0.48
"412","Jesse Lingard\810e3c74","FW",3.66,0.24,0.49,1.95,1.46,75,0.25,0.33,17.7,0,0,0,0.17,0.17,0.08,2.68,1.46,0.73,1.46,0.49,26.8,6.83,25.5,4.88,11,11,0.73,0.98,0.24
"413","Yan Valery\531a4aa8","DF",0.24,0,0,0.49,0,0,0,0,28.3,0,0,0,0,0,0.02,2.44,1.71,1.22,0.98,0.24,12.2,4.88,40,5.37,5.85,0.98,2.44,2.93,5.12
